,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
490.76517,DepCl,AccSrv 490.76517,0,1,,90,1418.6881,
490.76517,AccSrv,DepCl 495.92517,0,4,,90,1432.9106,
493.1088,ArrCl,AccFA 493.1088  |   ArrCl 493.70215,1,3,,91,1432.9106,
493.1088,AccFA,,1,3,,91,1432.9106,
493.70215,ArrCl,AccFA 493.70215  |   ArrCl 509.3073,1,3,,92,1432.9106,
493.70215,AccFA,,1,4,,92,1432.9106,
495.92517,DepCl,AccSrv 495.92517,0,3,,92,1432.9106,
495.92517,AccSrv,DepCl 501.08517,0,5,,92,1442.9133,
501.08517,DepCl,AccSrv 501.08517,0,4,,92,1442.9133,
501.08517,AccSrv,DepCl 506.24518,0,4,,92,1457.172,
506.24518,DepCl,AccSrv 506.24518,0,3,,92,1457.172,
506.24518,AccSrv,DepCl 511.40518,0,3,,92,1473.9937,
509.3073,ArrCl,AccFA 509.3073  |   ArrCl 514.83356,1,4,,93,1473.9937,
509.3073,AccFA,,1,2,,93,1473.9937,
511.40518,DepCl,AccSrv 511.40518,0,2,,93,1473.9937,
511.40518,AccSrv,DepCl 516.5652,0,3,,93,1492.29,
514.83356,ArrCl,AccFA 514.83356  |   ArrCl 521.0645,1,2,,94,1492.29,
514.83356,AccFA,,1,2,,94,1492.29,
516.5652,DepCl,AccSrv 516.5652,0,2,,94,1492.29,
516.5652,AccSrv,DepCl 521.72516,0,3,,94,1515.1531,
521.0645,ArrCl,AccFA 521.0645  |   ArrCl 521.1727,1,2,,95,1515.1531,
521.0645,AccFA,,1,2,,95,1515.1531,
521.1727,ArrCl,AccFA 521.1727  |   ArrCl 522.06146,1,2,,96,1515.1531,
521.1727,AccFA,,1,3,,96,1515.1531,
521.72516,DepCl,AccSrv 521.72516,0,2,,96,1515.1531,
